"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",62293,5039877,1236.0
,"2022 (provisional)","2022","Alaska","02",5719,732673,780.6
,"2022 (provisional)","2022","Arizona","04",74082,7276316,1018.1
,"2022 (provisional)","2022","Arkansas","05",37855,3025891,1251.0
,"2022 (provisional)","2022","California","06",313165,39237836,798.1
,"2022 (provisional)","2022","Colorado","08",46787,5812069,805.0
,"2022 (provisional)","2022","Connecticut","09",34583,3605597,959.1
,"2022 (provisional)","2022","Delaware","10",11351,1003384,1131.3
,"2022 (provisional)","2022","District of Columbia","11",5385,670050,803.7
,"2022 (provisional)","2022","Florida","12",239118,21781128,1097.8
,"2022 (provisional)","2022","Georgia","13",102340,10799566,947.6
,"2022 (provisional)","2022","Hawaii","15",13228,1441553,917.6
,"2022 (provisional)","2022","Idaho","16",17162,1900923,902.8
,"2022 (provisional)","2022","Illinois","17",122963,12671469,970.4
,"2022 (provisional)","2022","Indiana","18",75368,6805985,1107.4
,"2022 (provisional)","2022","Iowa","19",33973,3193079,1064.0
,"2022 (provisional)","2022","Kansas","20",31551,2934582,1075.1
,"2022 (provisional)","2022","Kentucky","21",57053,4509394,1265.2
,"2022 (provisional)","2022","Louisiana","22",52339,4624047,1131.9
,"2022 (provisional)","2022","Maine","23",17364,1372247,1265.4
,"2022 (provisional)","2022","Maryland","24",56456,6165129,915.7
,"2022 (provisional)","2022","Massachusetts","25",63366,6984723,907.2
,"2022 (provisional)","2022","Michigan","26",110499,10050811,1099.4
,"2022 (provisional)","2022","Minnesota","27",51222,5707390,897.5
,"2022 (provisional)","2022","Mississippi","28",37803,2949965,1281.5
,"2022 (provisional)","2022","Missouri","29",71851,6168187,1164.9
,"2022 (provisional)","2022","Montana","30",11684,1104271,1058.1
,"2022 (provisional)","2022","Nebraska","31",18615,1963692,948.0
,"2022 (provisional)","2022","Nevada","32",30960,3143991,984.7
,"2022 (provisional)","2022","New Hampshire","33",14515,1388992,1045.0
,"2022 (provisional)","2022","New Jersey","34",81489,9267130,879.3
,"2022 (provisional)","2022","New Mexico","35",23655,2115877,1118.0
,"2022 (provisional)","2022","New York","36",173944,19835913,876.9
,"2022 (provisional)","2022","North Carolina","37",112609,10551162,1067.3
,"2022 (provisional)","2022","North Dakota","38",7041,774948,908.6
,"2022 (provisional)","2022","Ohio","39",138209,11780017,1173.2
,"2022 (provisional)","2022","Oklahoma","40",47976,3986639,1203.4
,"2022 (provisional)","2022","Oregon","41",44598,4246155,1050.3
,"2022 (provisional)","2022","Pennsylvania","42",147180,12964056,1135.3
,"2022 (provisional)","2022","Rhode Island","44",10704,1095610,977.0
,"2022 (provisional)","2022","South Carolina","45",61047,5190705,1176.1
,"2022 (provisional)","2022","South Dakota","46",9016,895376,1007.0
,"2022 (provisional)","2022","Tennessee","47",84989,6975218,1218.4
,"2022 (provisional)","2022","Texas","48",241441,29527941,817.7
,"2022 (provisional)","2022","Utah","49",21886,3337975,655.7
,"2022 (provisional)","2022","Vermont","50",6971,645570,1079.8
,"2022 (provisional)","2022","Virginia","51",82930,8642274,959.6
,"2022 (provisional)","2022","Washington","53",69194,7738692,894.1
