"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Alaska","02",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Arizona","04",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Arkansas","05",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","California","06",13,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Colorado","08",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Connecticut","09",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Delaware","10",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","District of Columbia","11",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Florida","12",17,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Georgia","13",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Hawaii","15",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Idaho","16",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Illinois","17",10,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Indiana","18",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Iowa","19",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Kansas","20",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Kentucky","21",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Louisiana","22",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Maine","23",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Maryland","24",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Massachusetts","25",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Michigan","26",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Minnesota","27",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Mississippi","28",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Missouri","29",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Montana","30",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Nebraska","31",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Nevada","32",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","New Hampshire","33",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","New Jersey","34",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","New Mexico","35",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","New York","36",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","North Carolina","37",Suppressed,Not Applicable,Not Applicable
,"2022 (provisional)","2022","North Dakota","38",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Ohio","39",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Oklahoma","40",0,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Oregon","41",0,Not Applicable,Not Applicable
