"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2024 (provisional)"	"2024/01"	"< 1 year"	"0"	1651	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"1 year"	"1"	125	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"2 years"	"2"	81	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"3 years"	"3"	70	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"4 years"	"4"	46	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"5 years"	"5"	66	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"6 years"	"6"	38	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"7 years"	"7"	54	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"8 years"	"8"	37	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"9 years"	"9"	48	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"10 years"	"10"	48	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"11 years"	"11"	41	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"12 years"	"12"	56	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"13 years"	"13"	61	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"14 years"	"14"	96	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"15 years"	"15"	113	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"16 years"	"16"	146	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"17 years"	"17"	199	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"18 years"	"18"	241	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"19 years"	"19"	262	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	"2024/01"	"20 years"	"20"	244	Not Applicable	Not Applicable
